name,frequency
Hauptstraße,6.114
Schulstraße,4.914
Gartenstraße,4.625
Bahnhofstraße,4.274
Dorfstraße,4.002
Bergstraße,3.870
Birkenweg,3.120
Lindenstraße,2.898
Kirchstraße,2.710
Waldstraße,2.667
Ringstraße,2.528
Schillerstraße,2.163
Amselweg,2.117
Goethestraße,2.053
Wiesenweg,2.011
Buchenweg,1.923
Jahnstraße,1.856
Wiesenstraße,1.825
Ahornweg,1.809
Finkenweg,1.777
Eichenweg,1.775
Am Sportplatz,1.699
Feldstraße,1.681
Mühlenweg,1.667
Rosenstraße,1.635
Erlenweg,1.603
Friedhofstraße,1.586
Blumenstraße,1.544
Lindenweg,1.541
Tannenweg,1.511
Brunnenstraße,1.495
Kirchweg,1.442
Bachstraße,1.429
Raiffeisenstraße,1.424
Mozartstraße,1.420
Rosenweg,1.416
Lerchenweg,1.379
Drosselweg,1.372
Mühlenstraße,1.338
Talstraße,1.330
Gartenweg,1.328
Industriestraße,1.298
Mittelstraße,1.284
Beethovenstraße,1.256
Poststraße,1.252
Waldweg,1.240
Kirchplatz,1.217
Meisenweg,1.209
Fliederweg,1.204
Kirchgasse,1.198
Am Bahnhof,1.187
Breslauer Straße,1.168
Lessingstraße,1.137
Schloßstraße,1.123
Kiefernweg,1.110
Fasanenweg,1.109
Burgstraße,1.109
Neue Straße,1.104
Birkenstraße,1.101
Uhlandstraße,1.096
Kastanienweg,1.090
Königsberger Straße,1.088
Tulpenweg,1.075
Schulweg,1.067
Im Winkel,1.057
Mühlweg,1.044
Marktplatz,1.040
Parkstraße,1.028
Danziger Straße,1.018
Grüner Weg,993
Kapellenweg,977
Schützenstraße,966
Berliner Straße,960
Mittelweg,954
Römerstraße,950
Eschenweg,907
Heideweg,898
Nelkenweg,897
Fichtenweg,882
Am Anger,847
Ulmenweg,828
Stettiner Straße,826
Wilhelmstraße,815
Lärchenweg,813
Sonnenstraße,809
Schubertstraße,805
Friedrichstraße,803
Eichendorffstraße,802
Am Hang,802
Sudetenstraße,800
Marienstraße,795
Friedhofsweg,795
Marktstraße,792
Kurze Straße,792
Brückenstraße,788
Eichenstraße,785
Schwalbenweg,770
Ginsterweg,767
Neuer Weg,767
Lange Straße,755
Nordstraße,749
Ahornstraße,745
Pappelweg,743
Steinweg,738
Flurstraße,736
Holunderweg,735
Akazienweg,725
Karlstraße,714
Südstraße,707
Kolpingstraße,705
Kapellenstraße,691
Brunnenweg,685
Rathausstraße,681
Buchenstraße,672
Mühlstraße,669
Hochstraße,663
Seestraße,658
Querstraße,656
Friedensstraße,652
Kantstraße,652
Weidenweg,648
Sonnenweg,647
Pestalozzistraße,647
Höhenweg,642
Tulpenstraße,639
Friedrich-Ebert-Straße,639
Richard-Wagner-Straße,636
Pfarrgasse,627
Robert-Koch-Straße,625
Kreuzstraße,623
Steinstraße,618
Im Wiesengrund,617
Sandweg,617
Siedlung,614
Heinrich-Heine-Straße,603
Falkenweg,596
Gutenbergstraße,592
Grenzweg,587
Nelkenstraße,586
Asternweg,582
Dahlienweg,581
Schlehenweg,577
Albert-Schweitzer-Straße,576
Weinbergstraße,571
Teichstraße,566
Am Berg,562
Friedenstraße,555
Schwarzer Weg,555
Zeppelinstraße,547
Mörikestraße,542
Veilchenweg,537
Wacholderweg,534
Grabenstraße,532
Frankenstraße,531
Klosterstraße,530
Lerchenstraße,528
Starenweg,528
Oststraße,524
Bergweg,524
Haydnstraße,524
Markt,523
Gerhart-Hauptmann-Straße,521
Fichtenstraße,515
Siemensstraße,508
Wiesengrund,506
Hohlweg,504
Heckenweg,502
Hölderlinstraße,498
Alte Dorfstraße,497
Jägerstraße,497
Forststraße,493
Lilienweg,493
Geschwister-Scholl-Straße,491
Dorfplatz,490
Mühlgasse,489
Burgweg,487
Bismarckstraße,487
Forstweg,485
Blumenweg,480
Hohe Straße,477
An der Kirche,474
Ludwigstraße,473
Lindenallee,472
Tannenstraße,472
Kirchenweg,472
August-Bebel-Straße,470
Kreuzweg,467
Leipziger Straße,465
Weiherstraße,462
Rathausplatz,458
Daimlerstraße,456
Am Friedhof,455
Weststraße,455
Ulmenstraße,451
Feldweg,451
Rotdornweg,447
Kirchberg,446
Robert-Bosch-Straße,445
Dieselstraße,444
Erlenstraße,441
